des(0, 17109, 19683)
(14911, "x7", 17098)
(17098, "o2", 17116)
(17098, "o3", 17152)
(1546, "x7", 3733)
(3733, "o2", 3751)
(3733, "o3", 3787)
(3733, "o5", 4219)
(3733, "o8", 16855)
(16855, "x2", 16864)
(16855, "x3", 16882)
(16855, "x5", 17098)
(1546, "x8", 8107)
(8107, "x-won", 19683)
(88, "o7", 4462)
(4462, "x2", 4471)
(4462, "x3", 4489)
(4462, "x5", 4705)
(4705, "o2", 4723)
(4705, "o3", 4759)
(4705, "o6", 6163)
(4705, "o8", 17827)
(17827, "x2", 17836)
(17827, "x3", 17854)
(17827, "x6", 18556)
(18556, "o2", 18574)
(18556, "o3", 18610)
(4462, "x6", 5191)
(5191, "o2", 5209)
(5191, "o3", 5245)
(5191, "o5", 5677)
(5191, "o8", 18313)
(18313, "x2", 18322)
(18313, "x3", 18340)
(18313, "x5", 18556)
(4462, "x8", 11023)
(11023, "x-won", 19683)
(88, "o8", 13210)
(13210, "x2", 13219)
(13210, "x3", 13237)
(13210, "x5", 13453)
(13453, "o2", 13471)
(13453, "o3", 13507)
(13453, "o6", 14911)
(13453, "o7", 17827)
(13210, "x6", 13939)
(13939, "o2", 13957)
(13939, "o3", 13993)
(13939, "o5", 14425)
(13939, "o7", 18313)
(13210, "x7", 15397)
(15397, "o2", 15415)
(15397, "o3", 15451)
(15397, "o5", 15883)
(15397, "o6", 16855)
(7, "x5", 250)
(250, "o2", 268)
(268, "x3", 295)
(268, "x4", 349)
(268, "x6", 997)
(997, "o3", 1051)
(1051, "x4", 1132)
(1051, "x7", 3238)
(3238, "o4", 3400)
(3400, "x8", 9961)
(9961, "x-won", 19683)
(3238, "o8", 16360)
(16360, "x4", 16441)
(1051, "x8", 7612)
(7612, "o4", 7774)
(7774, "x7", 9961)
(7612, "o7", 11986)
(11986, "x4", 12067)
(997, "o4", 1159)
(1159, "x3", 1186)
(1159, "x7", 3346)
(3346, "o3", 3400)
(3346, "o8", 16468)
(16468, "x3", 16495)
(1159, "x8", 7720)
(7720, "o3", 7774)
(7720, "o7", 12094)
(12094, "o-won", 19683)
(997, "o7", 5371)
(5371, "x3", 5398)
(5371, "x4", 5452)
(5371, "x8", 11932)
(11932, "o3", 11986)
(11932, "o4", 12094)
(997, "o8", 14119)
(14119, "x3", 14146)
(14119, "x4", 14200)
(14119, "x7", 16306)
(16306, "o3", 16360)
(16306, "o4", 16468)
(268, "x7", 2455)
(2455, "o3", 2509)
(2509, "x4", 2590)
(2509, "x6", 3238)
(2509, "x8", 9070)
(9070, "o4", 9232)
(9232, "x6", 9961)
(9070, "o6", 10528)
(10528, "x4", 10609)
(2455, "o4", 2617)
(2617, "x3", 2644)
(2617, "x6", 3346)
(2617, "x8", 9178)
(9178, "o3", 9232)
(9178, "o6", 10636)
(10636, "o-won", 19683)
(2455, "o6", 3913)
(3913, "x3", 3940)
(3913, "x4", 3994)
(3913, "x8", 10474)
(10474, "o3", 10528)
(10474, "o4", 10636)
(2455, "o8", 15577)
(15577, "x3", 15604)
(15577, "x4", 15658)
(15577, "x6", 16306)
(268, "x8", 6829)
(6829, "o3", 6883)
(6883, "x4", 6964)
(6883, "x6", 7612)
(6883, "x7", 9070)
(6829, "o4", 6991)
(6991, "x3", 7018)
(6991, "x6", 7720)
(6991, "x7", 9178)
(6829, "o6", 8287)
(8287, "x3", 8314)
(8287, "x4", 8368)
(8287, "x7", 10474)
(6829, "o7", 11203)
(11203, "x3", 11230)
(11203, "x4", 11284)
(11203, "x6", 11932)
(250, "o3", 304)
(304, "x2", 313)
(304, "x4", 385)
(304, "x6", 1033)
(1033, "o2", 1051)
(1033, "o4", 1195)
(1195, "x2", 1204)
(1195, "x7", 3382)
(3382, "o2", 3400)
(3382, "o8", 16504)
(16504, "x2", 16513)
(1195, "x8", 7756)
(7756, "o2", 7774)
(7756, "o7", 12130)
(12130, "o-won", 19683)
(1033, "o7", 5407)
(5407, "x2", 5416)
(5407, "x4", 5488)
(5407, "x8", 11968)
(11968, "o2", 11986)
(11968, "o4", 12130)
(1033, "o8", 14155)
(14155, "x2", 14164)
(14155, "x4", 14236)
(14155, "x7", 16342)
(16342, "o2", 16360)
(16342, "o4", 16504)
(304, "x7", 2491)
(2491, "o2", 2509)
(2491, "o4", 2653)
(2653, "x2", 2662)
(2653, "x6", 3382)
(2653, "x8", 9214)
(9214, "o2", 9232)
(9214, "o6", 10672)
(10672, "x2", 10681)
(2491, "o6", 3949)
(3949, "x2", 3958)
(3949, "x4", 4030)
(3949, "x8", 10510)
(10510, "o2", 10528)
(10510, "o4", 10672)
(2491, "o8", 15613)
(15613, "x2", 15622)
(15613, "x4", 15694)
(15613, "x6", 16342)
(304, "x8", 6865)
(6865, "o2", 6883)
(6865, "o4", 7027)
(7027, "x2", 7036)
(7027, "x6", 7756)
(7027, "x7", 9214)
(6865, "o6", 8323)
(8323, "x2", 8332)
(8323, "x4", 8404)
(8323, "x7", 10510)
(6865, "o7", 11239)
(11239, "x2", 11248)
(11239, "x4", 11320)
(11239, "x6", 11968)
(250, "o4", 412)
(412, "x2", 421)
(412, "x3", 439)
(412, "x6", 1141)
(1141, "o2", 1159)
(1141, "o3", 1195)
(1141, "o7", 5515)
(5515, "o-won", 19683)
(1141, "o8", 14263)
(14263, "x2", 14272)
(14263, "x3", 14290)
(14263, "x7", 16450)
(16450, "o2", 16468)
(16450, "o3", 16504)
(412, "x7", 2599)
(2599, "o2", 2617)
(2599, "o3", 2653)
(2599, "o6", 4057)
(4057, "x2", 4066)
(4057, "x3", 4084)
(4057, "x8", 10618)
(10618, "o2", 10636)
(10618, "o3", 10672)
(2599, "o8", 15721)
(15721, "x2", 15730)
(15721, "x3", 15748)
(15721, "x6", 16450)
(412, "x8", 6973)
(6973, "o2", 6991)
(6973, "o3", 7027)
(6973, "o6", 8431)
(8431, "x2", 8440)
(8431, "x3", 8458)
(8431, "x7", 10618)
(6973, "o7", 11347)
(11347, "o-won", 19683)
(250, "o6", 1708)
(1708, "x2", 1717)
(1708, "x3", 1735)
(1708, "x4", 1789)
(1708, "x7", 3895)
(3895, "o2", 3913)
(3895, "o3", 3949)
(3895, "o4", 4057)
(3895, "o8", 17017)
(17017, "x2", 17026)
(17017, "x3", 17044)
(17017, "x4", 17098)
(1708, "x8", 8269)
(8269, "o2", 8287)
(8269, "o3", 8323)
(8269, "o4", 8431)
(8269, "o7", 12643)
(12643, "x2", 12652)
(12643, "x3", 12670)
(12643, "x4", 12724)
(250, "o7", 4624)
(4624, "x2", 4633)
(4624, "x3", 4651)
(4624, "x4", 4705)
(4624, "x6", 5353)
(5353, "o2", 5371)
(5353, "o3", 5407)
(5353, "o4", 5515)
(5353, "o8", 18475)
(18475, "x2", 18484)
(18475, "x3", 18502)
(18475, "x4", 18556)
(4624, "x8", 11185)
(11185, "o2", 11203)
(11185, "o3", 11239)
(11185, "o4", 11347)
(11185, "o6", 12643)
(250, "o8", 13372)
(13372, "x2", 13381)
(13372, "x3", 13399)
(13372, "x4", 13453)
(13372, "x6", 14101)
(14101, "o2", 14119)
(14101, "o3", 14155)
(14101, "o4", 14263)
(14101, "o7", 18475)
(13372, "x7", 15559)
(15559, "o2", 15577)
(15559, "o3", 15613)
(15559, "o4", 15721)
(15559, "o6", 17017)
(7, "x6", 736)
(736, "o2", 754)
(754, "x3", 781)
(754, "x4", 835)
(754, "x5", 997)
(754, "x7", 2941)
(2941, "o3", 2995)
(2995, "x4", 3076)
(2995, "x5", 3238)
(2995, "x8", 9556)
(9556, "x-won", 19683)
(2941, "o4", 3103)
(3103, "x3", 3130)
(3103, "x5", 3346)
(3103, "x8", 9664)
(9664, "x-won", 19683)
(2941, "o5", 3427)
(3427, "x3", 3454)
(3427, "x4", 3508)
(3427, "x8", 9988)
(9988, "x-won", 19683)
(2941, "o8", 16063)
(16063, "x3", 16090)
(16063, "x4", 16144)
(16063, "x5", 16306)
(754, "x8", 7315)
(7315, "o3", 7369)
(7369, "x4", 7450)
(7369, "x5", 7612)
(7369, "x7", 9556)
(7315, "o4", 7477)
(7477, "x3", 7504)
(7477, "x5", 7720)
(7477, "x7", 9664)
(7315, "o5", 7801)
(7801, "x3", 7828)
(7801, "x4", 7882)
(7801, "x7", 9988)
(7315, "o7", 11689)
(11689, "x3", 11716)
(11689, "x4", 11770)
(11689, "x5", 11932)
(736, "o3", 790)
(790, "x2", 799)
(790, "x4", 871)
(790, "x5", 1033)
(790, "x7", 2977)
(2977, "o2", 2995)
(2977, "o4", 3139)
(3139, "x2", 3148)
(3139, "x5", 3382)
(3139, "x8", 9700)
(9700, "x-won", 19683)
(2977, "o5", 3463)
(3463, "x2", 3472)
(3463, "x4", 3544)
(3463, "x8", 10024)
(10024, "x-won", 19683)
(2977, "o8", 16099)
(16099, "x2", 16108)
(16099, "x4", 16180)
(16099, "x5", 16342)
(790, "x8", 7351)
(7351, "o2", 7369)
(7351, "o4", 7513)
(7513, "x2", 7522)
(7513, "x5", 7756)
(7513, "x7", 9700)
(7351, "o5", 7837)
(7837, "x2", 7846)
(7837, "x4", 7918)
(7837, "x7", 10024)
(7351, "o7", 11725)
(11725, "x2", 11734)
(11725, "x4", 11806)
(11725, "x5", 11968)
(736, "o4", 898)
(898, "x2", 907)
(898, "x3", 925)
(898, "x5", 1141)
(898, "x7", 3085)
(3085, "o2", 3103)
(3085, "o3", 3139)
(3085, "o5", 3571)
(3571, "x2", 3580)
(3571, "x3", 3598)
(3571, "x8", 10132)
(10132, "x-won", 19683)
(3085, "o8", 16207)
(16207, "x2", 16216)
(16207, "x3", 16234)
(16207, "x5", 16450)
(898, "x8", 7459)
(7459, "o2", 7477)
(7459, "o3", 7513)
(7459, "o5", 7945)
(7945, "x2", 7954)
(7945, "x3", 7972)
(7945, "x7", 10132)
(7459, "o7", 11833)
(11833, "o-won", 19683)
(736, "o5", 1222)
(1222, "x2", 1231)
(1222, "x3", 1249)
(1222, "x4", 1303)
(1222, "x7", 3409)
(3409, "o2", 3427)
(3409, "o3", 3463)
(3409, "o4", 3571)
(3409, "o8", 16531)
(16531, "x2", 16540)
(16531, "x3", 16558)
(16531, "x4", 16612)
(1222, "x8", 7783)
(7783, "o2", 7801)
(7783, "o3", 7837)
(7783, "o4", 7945)
(7783, "o7", 12157)
(12157, "x2", 12166)
(12157, "x3", 12184)
(12157, "x4", 12238)
(736, "o7", 5110)
(5110, "x2", 5119)
(5110, "x3", 5137)
(5110, "x4", 5191)
(5110, "x5", 5353)
(5110, "x8", 11671)
(11671, "o2", 11689)
(11671, "o3", 11725)
(11671, "o4", 11833)
(11671, "o5", 12157)
(736, "o8", 13858)
(13858, "x2", 13867)
(13858, "x3", 13885)
(13858, "x4", 13939)
(13858, "x5", 14101)
(13858, "x7", 16045)
(16045, "o2", 16063)
(16045, "o3", 16099)
(16045, "o4", 16207)
(16045, "o5", 16531)
(7, "x7", 2194)
(2194, "o2", 2212)
(2212, "x3", 2239)
(2212, "x4", 2293)
(2212, "x5", 2455)
(2212, "x6", 2941)
(2212, "x8", 8773)
(8773, "o3", 8827)
(8827, "x4", 8908)
(8827, "x5", 9070)
(8827, "x6", 9556)
(8773, "o4", 8935)
(8935, "x3", 8962)
(8935, "x5", 9178)
(8935, "x6", 9664)
(8773, "o5", 9259)
(9259, "x3", 9286)
(9259, "x4", 9340)
(9259, "x6", 9988)
(8773, "o6", 10231)
(10231, "x3", 10258)
(10231, "x4", 10312)
(10231, "x5", 10474)
(2194, "o3", 2248)
(2248, "x2", 2257)
(2248, "x4", 2329)
(2248, "x5", 2491)
(2248, "x6", 2977)
(2248, "x8", 8809)
(8809, "o2", 8827)
(8809, "o4", 8971)
(8971, "x2", 8980)
(8971, "x5", 9214)
(8971, "x6", 9700)
(8809, "o5", 9295)
(9295, "x2", 9304)
(9295, "x4", 9376)
(9295, "x6", 10024)
(8809, "o6", 10267)
(10267, "x2", 10276)
(10267, "x4", 10348)
(10267, "x5", 10510)
(2194, "o4", 2356)
(2356, "x2", 2365)
(2356, "x3", 2383)
(2356, "x5", 2599)
(2356, "x6", 3085)
(2356, "x8", 8917)
(8917, "o2", 8935)
(8917, "o3", 8971)
(8917, "o5", 9403)
(9403, "x2", 9412)
(9403, "x3", 9430)
(9403, "x6", 10132)
(8917, "o6", 10375)
(10375, "x2", 10384)
(10375, "x3", 10402)
(10375, "x5", 10618)
(2194, "o5", 2680)
(2680, "x2", 2689)
(2680, "x3", 2707)
(2680, "x4", 2761)
(2680, "x6", 3409)
(2680, "x8", 9241)
(9241, "o2", 9259)
(9241, "o3", 9295)
(9241, "o4", 9403)
(9241, "o6", 10699)
(10699, "x2", 10708)
(10699, "x3", 10726)
(10699, "x4", 10780)
(2194, "o6", 3652)
(3652, "x2", 3661)
(3652, "x3", 3679)
(3652, "x4", 3733)
(3652, "x5", 3895)
(3652, "x8", 10213)
(10213, "o2", 10231)
(10213, "o3", 10267)
(10213, "o4", 10375)
(10213, "o5", 10699)
(2194, "o8", 15316)
(15316, "x2", 15325)
(15316, "x3", 15343)
(15316, "x4", 15397)
(15316, "x5", 15559)
(15316, "x6", 16045)
(7, "x8", 6568)
(6568, "o2", 6586)
(6586, "x3", 6613)
(6586, "x4", 6667)
(6586, "x5", 6829)
(6586, "x6", 7315)
(6586, "x7", 8773)
(6568, "o3", 6622)
(6622, "x2", 6631)
(6622, "x4", 6703)
(6622, "x5", 6865)
(6622, "x6", 7351)
(6622, "x7", 8809)
(6568, "o4", 6730)
(6730, "x2", 6739)
(6730, "x3", 6757)
(6730, "x5", 6973)
(6730, "x6", 7459)
(6730, "x7", 8917)
(6568, "o5", 7054)
(7054, "x2", 7063)
(7054, "x3", 7081)
(7054, "x4", 7135)
(7054, "x6", 7783)
(7054, "x7", 9241)
(6568, "o6", 8026)
(8026, "x2", 8035)
(8026, "x3", 8053)
(8026, "x4", 8107)
(8026, "x5", 8269)
(8026, "x7", 10213)
(6568, "o7", 10942)
(10942, "x2", 10951)
(10942, "x3", 10969)
(10942, "x4", 11023)
(10942, "x5", 11185)
(10942, "x6", 11671)
(1, "o2", 19)
(19, "x1", 22)
(22, "o3", 76)
(76, "x4", 157)
(157, "o5", 643)
(643, "x6", 1372)
(1372, "o7", 5746)
(5746, "x8", 12307)
(12307, "x-won", 19683)
(1372, "o8", 14494)
(14494, "o-won", 19683)
(643, "x7", 2830)
(2830, "x-won", 19683)
(643, "x8", 7204)
(7204, "x-won", 19683)
(157, "o6", 1615)
(1615, "x5", 1858)
(1858, "o7", 6232)
(6232, "x8", 12793)
(12793, "x-won", 19683)
(1858, "o8", 14980)
(14980, "x7", 17167)
(17167, "x-won", 19683)
(1615, "x7", 3802)
(3802, "x-won", 19683)
(1615, "x8", 8176)
(8176, "x-won", 19683)
(157, "o7", 4531)
(4531, "x5", 4774)
(4774, "o6", 6232)
(4774, "o8", 17896)
(17896, "x6", 18625)
(4531, "x6", 5260)
(5260, "o5", 5746)
(5260, "o8", 18382)
(18382, "x5", 18625)
(4531, "x8", 11092)
(11092, "x-won", 19683)
(157, "o8", 13279)
(13279, "x5", 13522)
(13522, "o6", 14980)
(13522, "o7", 17896)
(13279, "x6", 14008)
(14008, "o5", 14494)
(14008, "o7", 18382)
(13279, "x7", 15466)
(15466, "x-won", 19683)
(76, "x5", 319)
(319, "o4", 481)
(481, "x6", 1210)
(1210, "o7", 5584)
(5584, "x8", 12145)
(1210, "o8", 14332)
(14332, "x7", 16519)
(481, "x7", 2668)
(2668, "o6", 4126)
(4126, "o-won", 19683)
(2668, "o8", 15790)
(15790, "x6", 16519)
(481, "x8", 7042)
(7042, "o6", 8500)
(8500, "o-won", 19683)
(7042, "o7", 11416)
(11416, "x6", 12145)
(319, "o6", 1777)
(1777, "x4", 1858)
(1777, "x7", 3964)
(3964, "o4", 4126)
(3964, "o8", 17086)
(17086, "x4", 17167)
(1777, "x8", 8338)
(8338, "o4", 8500)
(8338, "o7", 12712)
(12712, "x4", 12793)
(319, "o7", 4693)
(4693, "x4", 4774)
(4693, "x6", 5422)
(5422, "o4", 5584)
(5422, "o8", 18544)
(18544, "x4", 18625)
(4693, "x8", 11254)
(11254, "o4", 11416)
(11254, "o6", 12712)
(319, "o8", 13441)
(13441, "x4", 13522)
(13441, "x6", 14170)
(14170, "o4", 14332)
(14170, "o7", 18544)
(13441, "x7", 15628)
(15628, "o4", 15790)
(15628, "o6", 17086)
(76, "x6", 805)
(805, "o4", 967)
(967, "x5", 1210)
(967, "x7", 3154)
(3154, "o5", 3640)
(3640, "o-won", 19683)
(3154, "o8", 16276)
(16276, "x5", 16519)
(967, "x8", 7528)
(7528, "o5", 8014)
(8014, "o-won", 19683)
(7528, "o7", 11902)
(11902, "x5", 12145)
(805, "o5", 1291)
(1291, "x4", 1372)
(1291, "x7", 3478)
(3478, "o4", 3640)
(3478, "o8", 16600)
(16600, "o-won", 19683)
(1291, "x8", 7852)
(7852, "o4", 8014)
(7852, "o7", 12226)
(12226, "x4", 12307)
(805, "o7", 5179)
(5179, "x4", 5260)
(5179, "x5", 5422)
(5179, "x8", 11740)
(11740, "o4", 11902)
(11740, "o5", 12226)
(805, "o8", 13927)
(13927, "x4", 14008)
(13927, "x5", 14170)
(13927, "x7", 16114)
(16114, "o4", 16276)
(16114, "o5", 16600)
(76, "x7", 2263)
(2263, "o4", 2425)
(2425, "x5", 2668)
(2425, "x6", 3154)
(2425, "x8", 8986)
(8986, "o5", 9472)
(9472, "o-won", 19683)
(8986, "o6", 10444)
(10444, "o-won", 19683)
(2263, "o5", 2749)
(2749, "x4", 2830)
(2749, "x6", 3478)
(2749, "x8", 9310)
(9310, "o4", 9472)
(9310, "o6", 10768)
(10768, "x4", 10849)
(10849, "x-won", 19683)
(2263, "o6", 3721)
(3721, "x4", 3802)
(3721, "x5", 3964)
(3721, "x8", 10282)
(10282, "o4", 10444)
(10282, "o5", 10768)
(2263, "o8", 15385)
(15385, "x4", 15466)
(15385, "x5", 15628)
(15385, "x6", 16114)
(76, "x8", 6637)
(6637, "o4", 6799)
(6799, "x5", 7042)
(6799, "x6", 7528)
(6799, "x7", 8986)
(6637, "o5", 7123)
(7123, "x4", 7204)
(7123, "x6", 7852)
(7123, "x7", 9310)
(6637, "o6", 8095)
(8095, "x4", 8176)
(8095, "x5", 8338)
(8095, "x7", 10282)
(6637, "o7", 11011)
(11011, "x4", 11092)
(11011, "x5", 11254)
(11011, "x6", 11740)
(22, "o4", 184)
(184, "x3", 211)
(211, "o5", 697)
(697, "x6", 1426)
(1426, "x-won", 19683)
(697, "x7", 2884)
(2884, "o6", 4342)
(4342, "o-won", 19683)
(2884, "o8", 16006)
(16006, "o-won", 19683)
(697, "x8", 7258)
(7258, "o6", 8716)
(8716, "o-won", 19683)
(7258, "o7", 11632)
(11632, "x6", 12361)
(12361, "x-won", 19683)
(211, "o6", 1669)
(1669, "o-won", 19683)
(211, "o7", 4585)
(4585, "x5", 4828)
(4828, "o6", 6286)
(6286, "o-won", 19683)
(4828, "o8", 17950)
(17950, "x6", 18679)
(18679, "x-won", 19683)
(4585, "x6", 5314)
(5314, "x-won", 19683)
(4585, "x8", 11146)
(11146, "o5", 11632)
(11146, "o6", 12604)
(12604, "o-won", 19683)
(211, "o8", 13333)
(13333, "x5", 13576)
(13576, "o6", 15034)
(15034, "o-won", 19683)
(13576, "o7", 17950)
(13333, "x6", 14062)
(14062, "x-won", 19683)
(13333, "x7", 15520)
(15520, "o5", 16006)
(15520, "o6", 16978)
(16978, "o-won", 19683)
(184, "x5", 427)
(427, "o3", 481)
(427, "o6", 1885)
(1885, "o-won", 19683)
(427, "o7", 4801)
(4801, "x3", 4828)
(4801, "x6", 5530)
(5530, "o3", 5584)
(5530, "o8", 18652)
(18652, "x3", 18679)
(4801, "x8", 11362)
(11362, "o3", 11416)
(11362, "o6", 12820)
(12820, "o-won", 19683)
(427, "o8", 13549)
(13549, "x3", 13576)
(13549, "x6", 14278)
(14278, "o3", 14332)
(14278, "o7", 18652)
(13549, "x7", 15736)
(15736, "o3", 15790)
(15736, "o6", 17194)
(17194, "o-won", 19683)
(184, "x6", 913)
(913, "o3", 967)
(913, "o5", 1399)
(1399, "x3", 1426)
(1399, "x7", 3586)
(3586, "o3", 3640)
(3586, "o8", 16708)
(16708, "o-won", 19683)
(1399, "x8", 7960)
(7960, "o3", 8014)
(7960, "o7", 12334)
(12334, "x3", 12361)
(913, "o7", 5287)
(5287, "x3", 5314)
(5287, "x5", 5530)
(5287, "x8", 11848)
(11848, "o3", 11902)
(11848, "o5", 12334)
(913, "o8", 14035)
(14035, "x3", 14062)
(14035, "x5", 14278)
(14035, "x7", 16222)
(16222, "o3", 16276)
(16222, "o5", 16708)
(184, "x7", 2371)
(2371, "o3", 2425)
(2371, "o5", 2857)
(2857, "x3", 2884)
(2857, "x6", 3586)
(2857, "x8", 9418)
(9418, "o3", 9472)
(9418, "o6", 10876)
(10876, "o-won", 19683)
(2371, "o6", 3829)
(3829, "o-won", 19683)
(2371, "o8", 15493)
(15493, "x3", 15520)
(15493, "x5", 15736)
(15493, "x6", 16222)
(184, "x8", 6745)
(6745, "o3", 6799)
(6745, "o5", 7231)
(7231, "x3", 7258)
(7231, "x6", 7960)
(7231, "x7", 9418)
(6745, "o6", 8203)
(8203, "o-won", 19683)
(6745, "o7", 11119)
(11119, "x3", 11146)
(11119, "x5", 11362)
(11119, "x6", 11848)
(22, "o5", 508)
(508, "x3", 535)
(535, "o4", 697)
(535, "o6", 1993)
(1993, "x4", 2074)
(2074, "o7", 6448)
(6448, "x8", 13009)
(13009, "x-won", 19683)
(2074, "o8", 15196)
(15196, "o-won", 19683)
(1993, "x7", 4180)
(4180, "o4", 4342)
(4180, "o8", 17302)
(17302, "o-won", 19683)
(1993, "x8", 8554)
(8554, "o4", 8716)
(8554, "o7", 12928)
(12928, "x4", 13009)
(535, "o7", 4909)
(4909, "x4", 4990)
(4990, "o6", 6448)
(4990, "o8", 18112)
(18112, "o-won", 19683)
(4909, "x6", 5638)
(5638, "x-won", 19683)
(4909, "x8", 11470)
(11470, "o4", 11632)
(11470, "o6", 12928)
(535, "o8", 13657)
(13657, "o-won", 19683)
(508, "x4", 589)
(589, "o3", 643)
(589, "o6", 2047)
(2047, "x3", 2074)
(2047, "x7", 4234)
(4234, "x-won", 19683)
(2047, "x8", 8608)
(8608, "x-won", 19683)
(589, "o7", 4963)
(4963, "x3", 4990)
(4963, "x6", 5692)
(5692, "o3", 5746)
(5692, "o8", 18814)
(18814, "o-won", 19683)
(4963, "x8", 11524)
(11524, "x-won", 19683)
(589, "o8", 13711)
(13711, "o-won", 19683)
(508, "x6", 1237)
(1237, "o3", 1291)
(1237, "o4", 1399)
(1237, "o7", 5611)
(5611, "x3", 5638)
(5611, "x4", 5692)
(5611, "x8", 12172)
(12172, "o3", 12226)
(12172, "o4", 12334)
(1237, "o8", 14359)
(14359, "o-won", 19683)
(508, "x7", 2695)
(2695, "o3", 2749)
(2695, "o4", 2857)
(2695, "o6", 4153)
(4153, "x3", 4180)
(4153, "x4", 4234)
(4153, "x8", 10714)
(10714, "o3", 10768)
(10714, "o4", 10876)
(2695, "o8", 15817)
(15817, "o-won", 19683)
(508, "x8", 7069)
(7069, "o3", 7123)
(7069, "o4", 7231)
(7069, "o6", 8527)
(8527, "x3", 8554)
(8527, "x4", 8608)
(8527, "x7", 10714)
(7069, "o7", 11443)
(11443, "x3", 11470)
(11443, "x4", 11524)
(11443, "x6", 12172)
(22, "o6", 1480)
(1480, "x3", 1507)
(1507, "o4", 1669)
(1507, "o5", 1993)
(1507, "o7", 5881)
(5881, "x4", 5962)
(5962, "o5", 6448)
(5962, "o8", 19084)
(19084, "o-won", 19683)
(5881, "x5", 6124)
(6124, "o4", 6286)
(6124, "o8", 19246)
(19246, "o-won", 19683)
(5881, "x8", 12442)
(12442, "o4", 12604)
(12442, "o5", 12928)
(1507, "o8", 14629)
(14629, "x4", 14710)
(14710, "o5", 15196)
(14710, "o7", 19084)
(14629, "x5", 14872)
(14872, "o4", 15034)
(14872, "o7", 19246)
(14629, "x7", 16816)
(16816, "o4", 16978)
(16816, "o5", 17302)
(1480, "x4", 1561)
(1561, "o3", 1615)
(1561, "o5", 2047)
(1561, "o7", 5935)
(5935, "x3", 5962)
(5935, "x5", 6178)
(6178, "o3", 6232)
(6178, "o8", 19300)
(19300, "o-won", 19683)
(5935, "x8", 12496)
(12496, "x-won", 19683)
(1561, "o8", 14683)
(14683, "x3", 14710)
(14683, "x5", 14926)
(14926, "o3", 14980)
(14926, "o7", 19300)
(14683, "x7", 16870)
(16870, "x-won", 19683)
(1480, "x5", 1723)
(1723, "o3", 1777)
(1723, "o4", 1885)
(1723, "o7", 6097)
(6097, "x3", 6124)
(6097, "x4", 6178)
(6097, "x8", 12658)
(12658, "o3", 12712)
(12658, "o4", 12820)
(1723, "o8", 14845)
(14845, "x3", 14872)
(14845, "x4", 14926)
(14845, "x7", 17032)
(17032, "o3", 17086)
(17032, "o4", 17194)
(1480, "x7", 3667)
(3667, "o3", 3721)
(3667, "o4", 3829)
(3667, "o5", 4153)
(3667, "o8", 16789)
(16789, "x3", 16816)
(16789, "x4", 16870)
(16789, "x5", 17032)
(1480, "x8", 8041)
(8041, "o3", 8095)
(8041, "o4", 8203)
(8041, "o5", 8527)
(8041, "o7", 12415)
(12415, "x3", 12442)
(12415, "x4", 12496)
(12415, "x5", 12658)
(22, "o7", 4396)
(4396, "x3", 4423)
(4423, "o4", 4585)
(4423, "o5", 4909)
(4423, "o6", 5881)
(4423, "o8", 17545)
(17545, "x4", 17626)
(17626, "o5", 18112)
(17626, "o6", 19084)
(17545, "x5", 17788)
(17788, "o4", 17950)
(17788, "o6", 19246)
(17545, "x6", 18274)
(18274, "x-won", 19683)
(4396, "x4", 4477)
(4477, "o3", 4531)
(4477, "o5", 4963)
(4477, "o6", 5935)
(4477, "o8", 17599)
(17599, "x3", 17626)
(17599, "x5", 17842)
(17842, "o3", 17896)
(17842, "o6", 19300)
(17599, "x6", 18328)
(18328, "o3", 18382)
(18328, "o5", 18814)
(4396, "x5", 4639)
(4639, "o3", 4693)
(4639, "o4", 4801)
(4639, "o6", 6097)
(4639, "o8", 17761)
(17761, "x3", 17788)
(17761, "x4", 17842)
(17761, "x6", 18490)
(18490, "o3", 18544)
(18490, "o4", 18652)
(4396, "x6", 5125)
(5125, "o3", 5179)
(5125, "o4", 5287)
(5125, "o5", 5611)
(5125, "o8", 18247)
(18247, "x3", 18274)
(18247, "x4", 18328)
(18247, "x5", 18490)
(4396, "x8", 10957)
(10957, "o3", 11011)
(10957, "o4", 11119)
(10957, "o5", 11443)
(10957, "o6", 12415)
(22, "o8", 13144)
(13144, "x3", 13171)
(13171, "o4", 13333)
(13171, "o5", 13657)
(13171, "o6", 14629)
(13171, "o7", 17545)
(13144, "x4", 13225)
(13225, "o3", 13279)
(13225, "o5", 13711)
(13225, "o6", 14683)
(13225, "o7", 17599)
(13144, "x5", 13387)
(13387, "o3", 13441)
(13387, "o4", 13549)
(13387, "o6", 14845)
(13387, "o7", 17761)
(13144, "x6", 13873)
(13873, "o3", 13927)
(13873, "o4", 14035)
(13873, "o5", 14359)
(13873, "o7", 18247)
(13144, "x7", 15331)
(15331, "o3", 15385)
(15331, "o4", 15493)
(15331, "o5", 15817)
(15331, "o6", 16789)
(19, "x3", 46)
(46, "o1", 52)
(46, "o4", 208)
(208, "x1", 211)
(208, "x5", 451)
(451, "o1", 457)
(451, "o6", 1909)
(1909, "o-won", 19683)
(451, "o7", 4825)
(4825, "x1", 4828)
(4825, "x6", 5554)
(5554, "x-won", 19683)
(4825, "x8", 11386)
(11386, "o1", 11392)
(11386, "o6", 12844)
(12844, "o-won", 19683)
(451, "o8", 13573)
